,title,artist,released,lyrics
37,Gimme Shelter,The Rolling Stones,"April, 1969","OohOohOohOoh, a storm is threat'ningMy very life todayIf I don't get some shelterOoh yeah, I'm gonna fade awayWar, childrenIt's just a shot away, it's just a shot awayWar, childrenIt's just a shot away, it's just a shot away, yeahOoh, see the fire is sweepingOur very street todayBurns like a red-coal carpetMad bull lost your wayWar, children, yeahIt's just a shot away, it's just a shot awayWar, children,yeahIt's just a shot away, it's just a shot awayHey, heyRape, murderIt's just a shot away, it's just a shot awayRape, murder, yeahIt's just a shot away, it's just a shot awayRape, murder It's just a shot away, it's just a shot awayYeah"
38,That'll Be the Day,Buddy Holly,"May, 1957","Well, that'll be the day, when you say goodbyeYes, that'll be the day, when you make me cryYou say you're going to leave, you know it's a lie'Cause that'll be the day when I dieWell, you give me all your lovin' and your turtle dovin'All your hugs and kisses and your money tooWell, you know you love me babyStill you tell me, maybeThat someday, well I'll be throughWell, that'll be the day, when you say goodbyeYes, that'll be the day, when you make me cryYou say you're going to leave, you know it's a lie'Cause that'll be the day when I dieWell, that'll be the day, when you say goodbyeYes, that'll be the day, when you make me cryYou say you're going to leave, you know it's a lie'Cause that'll be the day when I dieWell, when Cupid shot his dartHe shot it at your heartSo if we ever part and I leave youYou sit and hold me and you tell me boldlyThat someday, well I'll be blueWell, that'll be the day, when you say goodbyeYes, that'll be the day, when you make me cryYou say you're going to leave, you know it's a lie'Cause that'll be the day when I dieWell, that'll be the day, hoo-hooThat'll be the day, hoo-hooThat'll be the day, hoo-hooThat'll be the day"
39,Dancing in the Street,Martha Reeves & the Vandellas,"Sept, 1964","Calling out around the worldAre you ready for a brand new beat?Summer's here and the time is rightFor dancing in the streetThey're dancing in Chicago Down in New Orleans In New York City All we need is music, sweet musicThere'll be music everywhere There'll be swinging, swayingAnd records playingDancing in the street, ohIt doesn't matter what you wearJust as long as you are thereSo come on, every guy, grab a girlEverywhere around the worldThey'll be dancing They're dancing in the streetThis is just an invitation across the nationA chance for folks to meetThere'll be laughing, singing, and music swingingDancing in the streetPhiladelphia, PA Baltimore and D.C., now Can't forget the Motor City All we need is music, sweet musicThere'll be music everywhere There'll be swinging, swaying And records playing Dancing in the street, oh"
40,The Weight,The Band,"Aug, 1968","I pulled in to NazarethWas feeling 'bout half past deadI just need some placeWhere I can lay my head""Hey, mister, can you tell meWhere a man might find a bed?""He just grinned and shook my handAnd ""No"" was all he saidTake a load off FannyTake a load for freeTake a load off FannyAnd  you put the load right on meI picked up my bagI went looking for a place to hideWhen I saw Carmen and the DevilWalking side by sideI said ""Hey Carmen, come onLet's go downtown?""And she said, ""I gotta goBut my friend can stick around"""
41,Waterloo Sunset,The Kinks,"Feb, 1968","Dirty old river, must you keep rollingFlowing into the nightPeople so busy, make me feel dizzyTaxi light shines so brightBut I don't need no friendsAs long as I gaze on Waterloo sunsetI am in paradiseEvery day I look at the world from my windowBut chilly, chilly is the evening timeWaterloo sunset's fineTerry meets Julie, Waterloo stationEvery Friday nightBut I am so lazy, don't want to wanderI stay at home at nightBut I don't feel afraidAs long as I gaze on Waterloo sunsetI am in paradiseEvery day I look at the world from my windowBut chilly, chilly is the evening timeWaterloo sunset's fineMillions of people swarming like fliesRound Waterloo undergroundBut Terry and Julie cross over the riverWhere they feel safe and sound"
42,Tutti-Frutti,Little Richard,"Dec, 1955","Whop bop b-luma b-lop bam bomTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyA wop bop b-luma b-lop bam bomI got a girl named SueShe knows just what to doI got a girl named SueShe knows just what to doShe rocks to the east, she rocks to the westBut she's the girl that I love bestTutti frutti, oh rootyTutti frutti, oh rooty, whooTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyA wop bop-b-luma b-lop bam bomGot a girl named DaisyShe almost drives me crazyGot a girl named DaisyShe almost drives me crazyShe knows how to love me, yes, indeedBoy, you don't know what she do to meTutti frutti, oh rootyTutti frutti, oh rooty, whooTutti frutti, oh rootyTutti frutti, oh rootyTutti frutti, oh rootyWhop bop-b-luma, oww"
43,Georgia on My Mind,Ray Charles,"Sept, 1960","GeorgiaGeorgiaThe whole day throughJust an old, sweet songKeeps Georgia on my mindI said a-GeorgiaGeorgiaA song of youComes as sweet and clearAs moonlight through the pinesOther arms a-reach out to meOther eyes smile tenderlyStill, in the peaceful dreams, I seeThe road leads back to youI said, Georgia, oh, GeorgiaNo peace I find Just an old, sweet songKeeps Georgia on my mindOther arms a-reach out to meOther eyes smile tenderlyStill, in peaceful dreams, I seeThe road leads back to youOh, ohGeorgiaGeorgiaNo peace, no peace I findJust an old, sweet songKeeps Georgia on my mind"
44,Heartbreak Hotel,Elvis Presley,"Jan, 1956","Well, since my baby left meWell, I found a new place to dwellWell, it's down at the end of Lonely StreetAt Heartbreak HotelWhere I'll be, I'll be so lonely, babyWell, I'm so lonelyI'll be so lonely, I could dieAlthough it's always crowdedYou still can find some roomFor broken-hearted loversTo cry there in their gloomThey'll be, they'll be so lonely, babyThey'll be so lonelyThey're so lonely, they could dieNow, the bellhop's tears keep flowin'And the desk clerk's dressed in blackWell, they've been so long on Lonely StreetThey'll never, never look backAnd they get so, they get so lonely, babyWell, they are so lonelyThey're so lonely, they could dieWell, now, if your baby leaves youAnd you got a tale to tellWell, just take a walk down Lonely StreetTo Heartbreak Hotel"
45,Heroes,David Bowie,"Sept, 1977","I, I will be kingAnd you, you will be queenThough nothing will drive them awayWe can beat them just for one dayWe can be heroes just for one dayAnd you, you can be meanAnd I, I'll drink all the time'Cause we're lovers, and that is a factYes, we're lovers, and that is thatThough nothing will keep us togetherWe could steal time just for one dayWe can be heroes forever and everWhat d'you say?I, I wish you could swimLike the dolphins, like dolphins can swimThough nothing, nothing will keep us togetherWe can beat them forever and everOh, we can be heroes just for one day"
46,All Along the Watchtower,The Jimi Hendrix Experience,"Sept, 1968","""There must be some kind of way out of here""Said the joker to the thief""There's too much confusionI can't get no reliefBusinessmen they drink my winePlowmen dig my earthNone will level on the lineNobody offered his word""Hey!""No reason to get excited""The thief, he kindly spoke""There are many here among usWho feel that life is but a jokeBut, uh, but you and I, we've been through thatAnd this is not our fateSo let us stop talkin' falsely nowThe hour's getting lateHey!Hey!All along the watchtowerPrinces kept the viewWhile all the women came and wentBarefoot servants tooWell, uh, outside in the cold distanceA wildcat did growlTwo riders were approachingAnd the wind began to howlHey!"
47,Bridge Over Troubled Water,Simon & Garfunkel,"Feb, 1970","When you're wearyFeeling smallWhen tears are in your eyesI will dry them allI'm on your side, ohWhen times get roughAnd friends just can't be foundLike a bridge over troubled waterI will lay me downLike a bridge over troubled waterI will lay me downWhen you're down and outWhen you're on the streetWhen evening falls so hardI will comfort youI'll take your partWhen darkness comesAnd pain is all aroundLike a bridge over troubled waterI will lay me downLike a bridge over troubled waterI will lay me downSail on Silver GirlSail on byYour time has come to shineAll your dreams are on their waySee how they shine, ohIf you need a friendI'm sailing right behindLike a bridge over troubled waterI will ease your mindLike a bridge over troubled waterI will ease your mind"
48,Hotel California,Eagles,"Dec, 1976","On a dark desert highwayCool wind in my hairWarm smell of colitasRising up through the airUp ahead in the distanceI saw a shimmering lightMy head grew heavy and my sight grew dimI had to stop for the nightThere she stood in the doorwayI heard the mission bellAnd I was thinkin' to myself""This could be Heaven or this could be Hell""Then she lit up a candleAnd she showed me the wayThere were voices down the corridorI thought I heard them say""Welcome to the Hotel CaliforniaSuch a lovely place Such a lovely facePlenty of room at the Hotel CaliforniaAny time of year You can find it here""Her mind is Tiffany-twistedShe got the Mercedes bends, uhShe got a lot of pretty, pretty boysThat she calls friendsHow they dance in the courtyardSweet summer sweatSome dance to rememberSome dance to forgetSo I called up the Captain""Please bring me my wine""He said, ""We haven't had that spirit hereSince 1969""And still those voices are callin'From far awayWake you up in the middle of the nightJust to hear them say"
49,The Tracks of My Tears,Smokey Robinson & The Miracles,"June, 1965","People say I'm the life of the party'Cause I tell a joke or twoAlthough I might be laughing loud and heartyDeep inside I'm blueSo take a good look at my faceYou'll see my smile looks out of placeIf you look closer, it's easy to traceThe tracks of my tearsI need you Need you Since you left me, if you see me with another girlSeeming like I'm having funAlthough she may be cute, she's just a substituteBecause you're the permanent oneSo take a good look at my faceYou'll see my smile looks out of placeLook a little bit closer, it's easy to traceThe tracks of my tearsI need you Need you  I'm masquerading my hope is fadingJust a clown, oh yeah, since you put me downMy smile is my make up I wear since my break up with youBaby, take a good look at my faceYou'll see my smile looks out of placeYeah, just look closer, it's easy to traceThe tracks of my tears"
50,Crazy,Gnarls Barkley,"May , 1906","I remember whenI remember, I remember when I lost my mindThere was something so pleasant about that placeEven your emotions had an echo, in so much spaceAnd when you're out there without careYeah, I was out of touchBut it wasn't because I didn't know enoughI just knew too muchDoes that make me crazy?Does that make me crazy?Does that make me crazy?PossiblyAnd I hope that you are having the time of your lifeBut think twice, that's my only adviceCome on now, who do youWho do you, who do you, who do you think you are?Ha, ha, ha, bless your soulYou really think you're in control?Well, I think you're crazyI think you're crazyI think you're crazyJust like meMy heroes had the heart to lose their lives out on the limbAnd all I remember is thinkin' I wanna be like themEver since I was littleEver since I was little, it looked like funAnd it's no coincidence I've comeAnd I can die when I'm doneBut maybe I'm crazyMaybe you're crazyMaybe we're crazyProbably"
51,Fortunate Son,Creedence Clearwater Revival,"Oct. , 1969","Some folks are born made to wave the flagOoh, they're red, white and blueAnd when the band plays ""Hail to the Chief""Ooh, they point the cannon at you, LordIt ain't me, it ain't meI ain't no senator's son, sonIt ain't me, it ain't meI ain't no fortunate one, noSome folks are born silver spoon in handLord, don't they help themselves, noBut when the taxman come' to the doorLord, the house lookin' like a rummage sale, yeahIt ain't me, it ain't meI ain't no millionaire's son, no noIt ain't me, it ain't meI ain't no fortunate one, no"
52,Love and Happiness,Al Green,"June , 1972","Love and happinessYeahSomething that can make you do wrongâmake you do rightYeah, hmmm-mmmLoveLove and happinessBut wait a minute, something's going wrongSomeone's on the phoneThree o'clock in the morning, yeahTalkin' about, how she can make it right, yeahWell, happiness is whenYou really feel good about somebodyThere's nothing wrongBeing in love with someoneYeahOh, babyLove and happiness yeahLove and happiness, ohh ohhHave to sayLove and happiness yeahhLove and happinessYou be good to meI'll be good to youWe'll be together, yeahWe'll see each otherWalk away with victory, yeahYeahOh babyLove and happiness ohhLove and happiness ohhhHeh heh heh"
53,Roll Over Beethoven,Chuck Berry,"May , 1956","Well I'mma write a little letterI'm gonna mail it to my local DJYeah, it's a jumpin' little recordI want my jockey to playRoll over BeethovenI gotta hear it again todayYou know my temperature's risin'The jukebox blowin' a fuseMy heart's beatin' rhythmAnd my soul keep a-singin' the bluesRoll over BeethovenTell Tchaikovsky the newsI got the rockin' pneumoniaI need a shot of rhythm and bluesI caught the rollin' arthritisSittin' down at a rhythm revueRoll over BeethovenThey rockin' in two by twoWell, if you feel and like itGo get your lover, then reel and rock itRoll it over then move on up justA trifle further and reel and rock withOne anotherRoll over BeethovenDig these rhythm and bluesWell, early in the mornin', and I'm givin' you my warnin'Don't you step on my blue suede shoesHey, diddle diddle, I'ma play my fiddleAin't got nothing to loseRoll over BeethovenAnd tell Tchaikovsky the news"
54,Great Balls of Fire,Jerry Lee Lewis,"Nov. , 1957","You shake my nerves and you rattle my brainToo much love drives a man insaneYou broke my willBut what a thrillGoodness gracious, great balls of fire!I laughed at love 'coz I thought it was funnyYou came along and you moved me, honeyI've changed my mindThis love is fineGoodness gracious, great balls of fire!Kiss me, babyMmmmh, it feels goodHold me, babyWell, I'm off to love you like a lover shouldOh! You're fine, so kindGot to tell this world that you're mine, mine, mine, mineI chew my nails and then I twiddle my thumbsI'm real nervous, but it sure is funCome on, babyYou drive me crazyGoodness gracious, great balls of fire!Well, kiss me, babyMmmmh, it feels goodHold me, babyWell, I'm off to love you like a lover shouldYou're fine, so kindGot to tell this world that you're mine, mine, mine, mineI chew my nails and I twiddle my thumbsReal nervous, but it sure is funCome on, babyYou're driving me crazyGoodness gracious, great balls of fire!"
55,Blue Suede Shoes,Carl Perkins,"Feb , 1956","Well, it's one for the moneyTwo for the showThree to get readyNow go, cat, goBut don't you step on my blue suede shoesYou can do anything but lay off of my blue suede shoesWell, you can knock me downStep in my faceSlander my nameAll over the placeDo anything that you want to do, but uh-uhHoney, lay off of my shoesDon't you step on my blue suede shoesYou can do anything but lay off of my blue suede shoesYou can burn my houseSteal my carDrink my liquorFrom an old fruit jarDo anything that you want to doBut uh-uh honey, lay off of my shoesDon't you step on my blue suede shoesYou can do anything but lay off of my blue suede shoesRockWell, it's one for the moneyTwo for the showThree to get readyNow go, cat, goBut don't you step on my blue suede shoesYou can do anything but lay off of my blue suede shoesWell it'sBlue, blue, blue suede shoesBlue, blue, blue suede shoes, yeahBlue, blue, blue suede shoes babyBlue, blue, blue suede shoesYou can do anything but lay off of my blue suede shoes"
56,Good Golly Miss Molly,Little Richard,"Feb. , 1958","Good Golly, Miss Molly sure like to ballGood Golly, Miss Molly sure like to ballWhen you're rocking and rollingCan't hear your mama callFrom the early, early morningTo the early, early nightWhen you caught Miss MollyRocking at the House of Blue LightsGood Golly, Miss Molly sure like to ballWhen you're rocking and rollingCan't hear your mama callMomma, Papa told me""Son, you better watch your step""If they knew about Miss MollyI'd have to watch my pa myselfGood Golly Miss Molly sure like to ballWhen you're rocking and rollingCan't hear your mama callAhhhhh!Good Golly Miss Molly sure like to ballGood Golly Miss Molly sure like to ballOh, when you're rocking and rollingCan't hear your mama callGoing to the cornerGonna buy a diamond ringWould you hug me and kiss meMake me ting-a-ling-a-ling"
57,I Still Havent Found What Im Looking For,U2,"May , 1987","I have climbed the highest mountainsI have run through the fieldsOnly to be with youOnly to be with youI have run, I have crawledI have scaled these city wallsThese city wallsOnly to be with youBut I still haven't foundWhat I'm looking forBut I still haven't foundWhat I'm looking forI have kissed honey lipsFelt the healing in her fingertipsIt burned like fireThis burning desireI have spoke with the tongue of angelsI have held the hand of a devilIt was warm in the nightI was cold as a stoneBut I still haven't foundWhat I'm looking forBut I still haven't foundWhat I'm looking forI believe in the Kingdom ComeThen all the colours will bleed into oneBleed into oneBut yes, I'm still running"
58,Blitzkrieg Bop,Ramones,"May , 1976","Hey, ho, let's goHey, ho, let's goHey, ho, let's goHey, ho, let's goThey're formin' in a straight lineThey're goin' through a tight oneThe kids are losin' their mindsThe Blitzkrieg BopThey're pilin' in the back seatThey're generatin' steam heatPulsatin' to the back beatThe Blitzkrieg BopHey, ho, let's goShoot 'em in the back nowWhat they want, I don't knowThey're all revved up and ready to goThey're formin' in a straight lineThey're goin' through a tight windThe kids are losin' their mindsThe Blitzkrieg BopThey're pilin' in the back seatThey're generatin' steam heatPulsatin' to the back beatThe Blitzkrieg BopHey, ho, let's goShoot 'em in the back nowWhat they want, I don't knowThey're all revved up and ready to goThey're formin' in a straight lineThey're goin' through a tight windThe kids are losin' their mindsThe Blitzkrieg BopThey're pilin' in the back seatThey're generatin' steam heatPulsatin' to the back beatThe Blitzkrieg Bop"
59,Suspicious Minds,Elvis Presley,"Sept. , 1969","We're caught in a trap, I can't walk outBecause I love you too much, babyWhy can't you see what you're doin' to meWhen you don't believe a word I say?We can't go on togetherWith suspicious minds And we can't build our dreamsOn suspicious mindsSo if an old friend I know stops by to say helloWould I still see suspicion in your eyes?Here we go again, asking where I've beenYou can't see the tears are real, I'm cryin' We can't go on togetherWith suspicious minds And we can't build our dreamsOn suspicious mindsOh, let our love surviveI'll dry the tears from your eyesLet's don't let a good thing dieWhen, honey, you know I've never lied to youMmm, yeah, yeahWe're caught in a trap, I can't walk outBecause I love you too much, babyWhy can't you see what you're doin' to meWhen you don't believe a word I say?Well, don't you know I'm caught in a trap? I can't walk outBecause I love you too much, babyWell, don't you know I'm caught in a trap? I can't walk outBecause I love you too much, babyWell, don't you know I'm caught in a trap? I can't walk outBecause I love you too much, babyWell, don't you know I'm caught in a trap? I can't walk outBecause I love you too much, babyWell, don't you know I'm caught in a trap? I can't walk outBecause I love you too much, babyWell, don't you know I'm caught in a trap? I can't walk outBecause I love you too much, baby"
60,In the Still of the Night,The Five Satins,"Sept. , 1956","In the still of the nightI held you, held you tight'Cause I love, love you soPromise I'll never let you goIn the still of the nightI remember that night in MayThe stars were bright aboveI'll hope and I'll prayTo keep your precious loveWell before the lightHold me again with all of your mightIn the still of the nightSo before the light, hold me againWith all of your mightIn the still of the nightIn the still of the night"
61,California Dreamin,The Mamas & the Papas,"Dec. , 1965","All the leaves are brown And the sky is gray I've been for a walk On a winter's day I'd be safe and warm If I was in L.A. California dreamin' On such a winter's dayStopped in to a churchI passed along the wayWell, I got down on my knees And I pretend to pray You know the preacher liked the cold He knows I'm gonna stay California dreamin' On such a winter's dayAll the leaves are brown And the sky is gray I've been for a walk On a winter's day If I didn't tell her I could leave today California dreamin' On such a winter's day On such a winter's day On such a winter's day"
62,My Girl,The Temptations,"Jan. , 1965","I've got sunshine on a cloudy dayWhen it's cold outside, I've got the month of MayI guess you'd sayWhat can make me feel this way?My girl, my girl, my girlTalkin' 'bout my girl, my girlI've got so much honey, the bees envy meI've got a sweeter song than the birds in the treesWell, I guess you'd sayWhat can make me feel this way?My girl, my girl, my girlTalkin' 'bout my girl, my girlOoh, oohHey, hey, heyOoh, oohHey, hey, heyOoh, ooh, yeahI don't need no money, fortune, or fameI've got all the riches, baby, one man can claimWell, I guess you'd sayWhat can make me feel this way?My girl, my girl, my girlTalkin' 'bout my girl, my girl"
63,Ring of Fire,Johnny Cash,"May , 1963","Love is a burning thingAnd it makes a fiery ringBound by wild desireI fell into a ring of fireI fell into a burning ring of fireI went down, down, downAnd the flames went higherAnd it burns, burns, burnsThe ring of fireThe ring of fireI fell into a burning ring of fireI went down, down, downAnd the flames went higherAnd it burns, burns, burnsThe ring of fireThe ring of fireThe taste of love is sweetWhen hearts like ours meetI fell for you like a childOh, but the fire went wildI fell into a burning ring of fireI went down, down, downAnd the flames went higherAnd it burns, burns, burnsThe ring of fireThe ring of fireI fell into a burning ring of fireI went down, down, downAnd the flames went higherAnd it burns, burns, burnsThe ring of fireThe ring of fire"
64,Thunder Road,Bruce Springsteen,"Aug. , 1975","The screen door slams, Mary's dress swaysLike a vision, she dances across the porch as the radio playsRoy Orbison singing for the lonelyHey, that's me, and I want you onlyDon't turn me home againI just can't face myself alone againDon't run back insideDarling, you know just what I'm here forSo you're scared, and you're thinkingThat maybe we ain't that young anymoreShow a little faith, there's magic in the nightYou ain't a beauty, but, hey, you're alrightOh, and that's alright with meYou can hide 'neath your covers and study your painMake crosses from your lovers, throw roses in the rainWaste your summer praying in vainFor a saviour to rise from these streetsWell now, I'm no hero, that's understoodAll the redemption I can offer, girl, is beneath this dirty hoodWith a chance to make it good somehowHey what else can we do now?Except roll down the window and let the wind blow back your hairWell the night's busting openThese two lanes will take us anywhereWe got one last chance to make it realTo trade in these wings on some wheelsClimb in back, heaven's waiting down on the tracksOh-oh come take my handWe're riding out tonight to case the promised landOh-oh Thunder Road oh Thunder Road oh Thunder RoadLying out there like a killer in the sunHey, I know it's late, we can make it if we runOh, Thunder Road, sit tight, take holdThunder RoadWell I got this guitar, and I learned how to make it talkAnd my car's out back if you're ready to take that long walkFrom your front porch to my front seatThe door's open but the ride it ain't freeAnd I know you're lonely for words that I ain't spokenBut tonight we'll be free, all the promises'll be broken"
65,Crazy,Patsy Cline,"Oct. , 1961","Crazy, I'm crazy for feeling so lonelyI'm crazy, crazy for feeling so blueI knew, you'd love me as long as you wantedAnd then someday, you'd leave me for somebody newWorry, why do I let myself worry?Wondering, what in the world did I do?Crazy, for thinking that my love could hold youI'm crazy for trying and crazy for cryingAnd I'm crazy for loving youCrazy, for thinking that my love could hold youI'm crazy for trying and crazy for cryingAnd I'm crazy for loving you"
66,Every Breath You Take,The Police,"May , 1983","Every breath you takeAnd every move you makeEvery bond you breakEvery step you takeI'll be watching youEvery single dayAnd every word you sayEvery game you playEvery night you stayI'll be watching youOh, can't you see you belong to me?How my poor heart achesWith every step you take?Every move you makeAnd every vow you breakEvery smile you fakeEvery claim you stakeI'll be watching youSince you've gone, I've been lost without a traceI dream at night, I can only see your faceI look around, but it's you I can't replaceI feel so cold, and I long for your embraceI keep crying baby, baby, pleaseMmm, mmm, mmm, mmmMmm, mmm, mmmOh, can't you see you belong to me?How my poor heart achesWith every step you take"
67,Norwegian Wood (This Bird Has Flown),The Beatles,"Dec. , 1965","I once had a girlOr should I say, she once had me?She showed me her room""Isn't it good, Norwegian wood?""She asked me to stay and she told me to sit anywhereSo I looked around and I noticed there wasn't a chairI sat on the rugBiding my time, drinking her wineWe talked until twoAnd then she said, ""It's time for bed""She told me she worked in the morning and started to laughI told her I didn't and crawled off to sleep in the bathAnd when I awokeI was alone, this bird had flownSo I lit a fireIsn't it good, Norwegian wood?"
68,Blueberry Hill,Fats Domino,"Oct. , 1956","I found my thrill on Blueberry HillOn Blueberry Hill, when I found youThe moon stood still on Blueberry HillAnd lingered until my dream came trueThe wind in the willow playedLove's sweet melodyBut all of those vows you madeWere never to beThough we're apart, you're part of me stillFor you were my thrill on Blueberry HillThe wind in the willow playedLove's sweet melodyBut all of those vows you madeWere only to beThough we're apart, you're part of me stillFor you were my thrill on Blueberry Hill"
69,I Heard It Through the Grapevine,Marvin Gaye,"Oct. , 1968","Ooh-ooh, I bet you're wondering how I knew'Bout your plans to make me blueWith some other guy you knew beforeBetween the two of us guysYou know I love you moreIt took me by surprise, I must sayWhen I found out yesterdayDon't you know thatI heard it through the grapevineNot much longer would you be mineOh, I heard it through the grapevineOh, I'm just about to lose my mindHoney, honey, yeah I know a man ain't supposed to cryBut these tears, I can't hold insideLosing you would end my life, you see'Cause you mean that much to meYou could have told me yourselfThat you love someone elseInsteadI heard it through the grapevineNot much longer would you be mineOh, I heard it through the grapevineAnd I'm just about to lose my mindHoney, honey, yeah People say believe half of what you seeSon, and none of what you hearBut I can't help being confusedIf it's true please tell me, dearDo you plan to let me goFor the other guy you loved before?Don't you knowI heard it through the grapevineNot much longer would you be mine, babyI heard it through the grapevineOoh, I'm just about to lose my mindHoney, honey, yeah "
70,You Really Got Me,The Kinks,"Sept. , 1964","Girl, you really got me goin'You got me so I don't know what I'm doin'Yeah, you really got me nowYou got me so I can't sleep at nightYeah, you really got me nowYou got me so I don't know what I'm doin', nowOh yeah, you really got me nowYou got me so I can't sleep at nightYou really got meYou really got meYou really got meSee, don't ever set me freeI always want to be by your sideGirl, you really got me nowYou got me so I can't sleep at nightYeah, you really got me nowYou got me so I don't know what I'm doin', nowOh yeah, you really got me nowYou got me so I can't sleep at nightYou really got meYou really got meYou really got me Oh no!See, don't ever set me freeI always want to be by your sideGirl, you really got me nowYou got me so I can't sleep at nightYeah, you really got me nowYou got me so I don't know what I'm doin', nowOh yeah, you really got me nowYou got me so I can't sleep at nightYou really got meYou really got meYou really got me"
71,Mr. Tambourine Man,The Byrds,"May , 1965","Hey, Mr. Tambourine Man, play a song for meI'm not sleepy and there ain't no place I'm goin' toHey, Mr. Tambourine Man, play a song for meIn the jingle jangle morning, I'll come followin' youTake me for a trip upon your magic swirling shipAll my senses have been strippedAnd my hands can't feel to gripAnd my toes too numb to stepWait only for my bootheels to be wanderin'I'm ready to go anywhere, I'm ready for to fadeUnto my own paradeCast your dancing spell my wayI promise to go under itHey, Mr. Tambourine Man, play a song for meI'm not sleepy and there ain't no place I'm goin' toHey, Mr. Tambourine Man, play a song for meIn the jingle jangle morning, I'll come followin' you"
72,I Got You (I Feel Good),James Brown,"Nov. , 1965","Wow! I feel good, I knew that I would nowI feel good, I knew that I would nowSo good, so good, I got youWow! I feel nice, like sugar and spiceI feel nice, like sugar and spiceSo nice, so nice, I got youWhen I hold you in my armsI know that I can do no wrongAnd when I hold you in my armsMy love won't do you no harmAnd I feel nice, like sugar and spiceI feel nice, like sugar and spiceSo nice, so nice, I got youWhen I hold you in my armsI know that I can't do no wrongAnd when I hold you in my armsMy love can't do me no harm"
73,Mystery Train,Elvis Presley,"Sept. , 1955","Train I ride, sixteen coaches longTrain I ride, sixteen coaches longWell, that long black train got my baby and goneTrain train, coming 'round, 'round the bendTrain train, coming 'round the bendWell, it took my baby, but it never will againNo, not againTrain train, coming down, down the lineTrain train, coming down the lineWell, it's bringing my baby, 'cause she's mine all, all mineShe's mine, all, all mineTrain train, coming 'round, 'round the bend'Round, 'round the bendTrain train, coming 'round, 'round the bend'Round the bendWell, it took my baby, but it never will againNever will againOoh, whoa"
74,Strawberry Fields Forever,The Beatles,"Feb. , 1967","Let me take you down, 'cause I'm going toStrawberry FieldsNothing is realAnd nothing to get hung aboutStrawberry Fields foreverLiving is easy with eyes closedMisunderstanding all you seeIt's getting hard to be someone, but it all works outIt doesn't matter much to meLet me take you down, 'cause I'm going toStrawberry FieldsNothing is realAnd nothing to get hung aboutStrawberry Fields foreverNo one I think is in my treeI mean, it must be high or lowThat is, you can't, you know, tune in, but it's all rightThat is, I think it's not too badLet me take you down, 'cause I'm going toStrawberry FieldsNothing is realAnd nothing to get hung aboutStrawberry Fields foreverAlways, no, sometimes think it's meBut you know, I know when it's a dreamI think I know, I meanâerâyes, but it's all wrongThat is, I think I disagree"
75,Whole Lotta Love,Led Zeppelin,"Oct. , 1969","You need coolin', baby, I'm not foolin'I'm gonna send you back to schoolin'Way down inside, honey, you need itI'm gonna give you my loveI'm gonna give you my love, ohWanna whole lotta love?Wanna whole lotta love?Wanna whole lotta love?Wanna whole lotta love?You've been learnin', baby, I've been yearnin'All them good times, baby, baby, I've been learnin'Way, way down inside, honey, you need itI'm gonna give you my love, ahI'm gonna give you my love, ah, ohWanna whole lotta love?Wanna whole lotta love?Wanna whole lotta love?Wanna whole lotta love?You've been coolin', baby, I've been droolin'All the good times, baby, I've been misusin'Way, way down inside, I'm gonna give you my loveI'm gonna give you every inch of my loveGonna give you my love, hey, all right, yes, sirWanna whole lotta love?Wanna whole lotta love?Wanna whole lotta love?Wanna whole lotta love?"
76,Summertime Blues,Eddie Cochran,"July , 1958","I'm a-gonna raise a fussI'm a-gonna raise a hollerAbout workin' all summerJust-a trying to earn a dollarEvery time I call my babyTry to get a dateMy boss says ""No dice, sonYou gotta work late""Sometimes I wonderWhat I'm a-gonna doBut there ain't no cureFor the summertime bluesWell my mama and papa told me""Son, you gotta make some moneyIf you wanna use the carTo go a-ridin' next Sunday""Well, I didn't go to workTold the boss I was sick""You can't use the carCause you didn't work a lick""Sometimes I wonderWhat I'm a-gonna doBut there ain't no cureFor the summertime bluesI'm gonna take two weeksGonna have a fine vacationI'm gonna take my problemTo the United NationsWell, I called my congressmanAnd he said, quote:""I'd like to help you, sonBut you're too young to vote""Sometimes I wonderWhat I'm a-gonna doBut there ain't no cureFor the summertime blues"
77,Superstition,Stevie Wonder,"Nov. , 1972",Very superstitiousWriting's on the wallVery superstitiousLadder's about to fallThirteen month old babyBroke the looking glassSeven years of bad luckThe good things in your pastWhen you believe in thingsThat you don't understandThen you sufferSuperstition ain't the wayVery superstitiousWash your face and handsRid me of the problemDo all that you canKeep me in a daydreamKeep me going strongYou don't want to save meSad is my songWhen you believe in thingsThat you don't understandThen you sufferSuperstition ain't the wayVery superstitiousNothing more to sayVery superstitiousThe devil's on his wayThirteen month old babyBroke the looking glassSeven years of bad luckGood things in your past
